booking_id,booking_date,travel_date,customer_id,cust_segment,tour_type,channel,payment_method,destination,pax,base_price_vnd,discount_rate,booking_status,revenue_vnd,satisfaction,is_returning,,
B00542,6/26/2024,8/12/2024,C0096,Family,Foodie,Mobile App,Bank Transfer,Đà Nẵng,2,3397000,6%,Completed,6400000,4,TRUE,,
B00543,8/3/2024,9/5/2024,C0045,Family,Beach,Website,Bank Transfer,Hạ Long,1,4028000,12%,Completed,3533000,3.5,TRUE,,
B00544,7/12/2025,9/13/2025,C0319,Young Professional,Cultural,Website,Cash,TP.HCM,4,2906000,13%,Completed,10125000,4.4,TRUE,,
B00545,8/28/2024,10/5/2024,C0414,Corporate,Beach,Mobile App,Bank Transfer,Sa Pa,1,2830000,7%,Completed,2635000,3.8,TRUE,,
B00545,8/28/2024,10/5/2024,C0414,Corporate,Beach,Mobile App,Bank Transfer,Sa Pa,1,2830000,7%,Completed,2635000,3.8,TRUE,,
B00546,5/26/2024,7/19/2024,C0233,Corporate,Foodie,Website,Card,Hội An,2,1504000,10%,Completed,2716000,3.9,FALSE,,
B00547,12/15/2024,1/23/2025,C0075,Student,Cultural,Agent,Bank Transfer,Đà Lạt,1,2645000,13%,Completed,2296000,4.4,TRUE,,
B00548,7/21/2024,8/25/2024,C0009,Student,Family,Website,Card,TP.HCM,4,3998000,6%,Completed,15064000,4.1,FALSE,,
B00549,7/9/2025,10/5/2025,C0410,Corporate,City Break,Mobile App,Card,Huế,2,2550000,4%,Completed,4876000,3.8,TRUE,,
B00550,7/20/2025,8/27/2025,C0133,Family,Foodie,Agent,E-wallet,Phú Quốc,1,2353000,6%,Completed,2207000,3.2,TRUE,,
B00551,7/9/2024,7/24/2024,C0048,Young Professional,Beach,Mobile App,Card,Nha Trang,3,5491000,0%,Completed,16473000,4.4,FALSE,,
B00552,11/25/2024,1/4/2025,C0075,Student,City Break,Mobile App,Card,Đà Lạt,3,2653000,9%,Completed,7282000,4.2,TRUE,,
B00553,9/5/2025,10/28/2025,C0108,Young Professional,City Break,Mobile App,Cash,Hạ Long,3,2326000,9%,Completed,6378000,3.9,TRUE,,
B00554,4/7/2025,4/24/2025,C0276,Young Professional,Beach,Website,Card,Hạ Long,1,4278000,14%,Completed,3692000,3.7,TRUE,,
B00555,5/14/2024,6/17/2024,C0375,Student,Family,Mobile App,Card,Sa Pa,4,2006000,14%,Completed,6941000,4.2,FALSE,,
B00556,1/3/2025,1/26/2025,C0116,Corporate,Cultural,Agent,Cash,Phú Quốc,2,2128000,15%,Completed,3601000,4.4,TRUE,,
B00557,1/21/2025,3/12/2025,C0289,Young Professional,Family,Call Center,Bank Transfer,Hạ Long,4,3244000,21%,Completed,10290000,4.2,TRUE,,
B00558,2/11/2025,4/20/2025,C0028,Student,Adventure,Website,Bank Transfer,Đà Nẵng,1,4900000,16%,Completed,4121000,5,FALSE,,
B00559,1/16/2024,4/13/2024,C0005,Student,Cultural,Website,Card,Phú Quốc,2,2745000,19%,Completed,4458000,4.6,FALSE,,
B00560,7/5/2024,8/15/2024,C0024,Corporate,Beach,Agent,Cash,Đà Lạt,1,2972000,13%,Completed,2574000,4.1,FALSE,,
B00561,6/16/2025,9/3/2025,C0388,Corporate,Beach,Mobile App,Bank Transfer,Hội An,1,4783000,8%,Completed,4419000,4.6,TRUE,,
B00562,5/30/2024,6/26/2024,C0245,Family,Beach,Website,Card,,1,4566000,3%,Completed,4438000,4.2,TRUE,,
B00563,7/5/2024,9/16/2024,C0339,Student,Family,Website,Card,Huế,3,3487000,16%,Completed,8787000,4.2,TRUE,,
B00564,7/19/2024,9/12/2024,C0010,Young Professional,Cultural,Website,Card,Nha Trang,1,3633000,12%,Completed,3197000,4.8,TRUE,,
B00565,4/20/2024,6/30/2024,C0010,Young Professional,Beach,Mobile App,Card,Hội An,1,4679000,7%,Cancelled,0,,FALSE,,
B00566,4/6/2024,6/16/2024,C0357,Family,Family,Website,Card,Hạ Long,4,4160000,5%,Completed,15808000,4.2,TRUE,,
B00567,8/4/2024,9/26/2024,C0044,Young Professional,Family,Website,Bank Transfer,Huế,3,2985000,8%,Completed,8203000,4.8,FALSE,,
B00568,6/28/2025,7/28/2025,C0066,Family,Adventure,Website,E-wallet,Sa Pa,1,5485000,13%,Completed,4799000,4.4,TRUE,,
B00569,1/1/2024,2/22/2024,C0218,Student,Foodie,Agent,Card,Hà Nội,2,1949000,5%,Completed,3688000,4,FALSE,,
B00570,6/25/2024,9/9/2024,C0255,Young Professional,Cultural,Website,Cash,Đà Lạt,3,2484000,16%,Completed,6252000,3.3,FALSE,,
B00571,2/7/2024,5/5/2024,C0097,Young Professional,City Break,Website,Card,Hạ Long,3,2565000,15%,Completed,6533000,3.1,FALSE,,
B00572,12/15/2024,3/10/2025,C0187,Young Professional,Beach,Mobile App,Card,Sa Pa,3,3679000,3%,Completed,10761000,5,TRUE,,
B00573,6/5/2024,6/29/2024,C0284,Young Professional,Family,Website,Bank Transfer,Sa Pa,5,3361000,3%,Completed,16351000,4.4,TRUE,,
B00574,5/8/2025,7/5/2025,C0186,Family,Foodie,Call Center,Card,Phú Quốc,2,2671000,3%,Completed,5166000,3.9,TRUE,,
B00575,12/30/2024,1/17/2025,C0161,Student,City Break,Agent,E-wallet,Nha Trang,4,2791000,15%,Cancelled,0,,FALSE,,
B00576,5/3/2025,7/6/2025,C0031,Family,Beach,Website,Card,Đà Lạt,3,5470000,5%,Completed,15672000,3.7,TRUE,,
B00577,1/30/2025,4/30/2025,C0190,Young Professional,Family,Website,Card,Sa Pa,3,3081000,12%,Completed,8180000,4,TRUE,,
B00578,9/30/2024,10/14/2024,C0338,Family,Cultural,Website,Card,Đà Nẵng,3,2173000,3%,Cancelled,0,,TRUE,,
B00579,6/20/2025,8/22/2025,C0264,Student,Family,Website,Card,Phú Quốc,4,2333000,15%,Completed,7904000,3.5,TRUE,,
B00580,10/23/2024,1/17/2025,C0376,Student,Family,Website,Bank Transfer,Sa Pa,4,3584000,12%,Completed,12558000,3.1,TRUE,,
B00581,8/14/2025,10/31/2025,C0053,Family,Foodie,Website,Cash,Hạ Long,3,2519000,15%,Completed,6423000,3.4,TRUE,,
B00582,9/11/2025,10/22/2025,C0005,Student,Adventure,Website,Card,Đà Lạt,1,5962000,9%,Completed,5437000,4.7,TRUE,,
B00583,1/1/2025,1/19/2025,C0231,Student,Beach,Mobile App,Card,Sa Pa,1,3088000,8%,Completed,2838000,3.7,TRUE,,
B00584,2/24/2025,5/19/2025,C0076,Young Professional,Adventure,Website,Cash,TP.HCM,2,3059000,24%,Completed,4680000,4.5,TRUE,,
B00585,6/8/2024,8/31/2024,C0250,Young Professional,Beach,Website,Bank Transfer,TP.HCM,2,2778000,0%,Completed,5556000,4.7,TRUE,,
B00586,5/22/2025,7/17/2025,C0380,Family,Cultural,Mobile App,Card,Nha Trang,3,2305000,7%,Completed,6424000,4.2,TRUE,,
B00587,2/22/2025,5/22/2025,C0142,Young Professional,Cultural,Website,Card,Hà Nội,3,3052000,5%,Completed,8726000,4.1,TRUE,,
B00588,7/16/2025,7/26/2025,C0231,Student,Family,Website,Card,Huế,4,2938000,4%,Completed,11235000,4.3,TRUE,,
B00589,6/15/2024,8/13/2024,C0287,Student,Beach,Website,Card,Hạ Long,4,4003000,3%,Completed,15468000,4,FALSE,,
B00590,5/5/2025,5/18/2025,C0064,Family,Beach,Website,Card,Hà Nội,1,4205000,6%,Completed,3948000,4.8,TRUE,,
B00591,10/19/2024,1/12/2025,C0377,Corporate,Beach,Website,Card,Hạ Long,4,4251000,12%,Completed,14930000,5,TRUE,,
B00592,4/25/2024,6/29/2024,C0086,Student,City Break,Agent,Card,Nha Trang,1,3110000,0%,Completed,3110000,4.9,FALSE,,
B00593,4/16/2024,7/8/2024,C0340,Corporate,Family,Agent,Card,Phú Quốc,4,2997000,5%,Completed,11425000,3.1,FALSE,,
B00594,12/16/2024,2/9/2025,C0278,Young Professional,Beach,Website,Card,Hạ Long,1,4290000,12%,Completed,3797000,4,FALSE,,
B00595,7/18/2024,8/3/2024,C0060,Student,Beach,Website,E-wallet,Hội An,2,2991000,1%,Completed,5946000,4.2,TRUE,,
B00596,3/4/2024,3/16/2024,C0305,Corporate,Adventure,Agent,Cash,TP.HCM,1,5801000,21%,Completed,4577000,4.4,TRUE,,
B00597,9/23/2024,10/30/2024,C0083,Family,Cultural,Mobile App,Card,Hà Nội,1,2653000,8%,Completed,2430000,3.3,TRUE,,
B00598,2/10/2025,4/21/2025,C0252,Corporate,Adventure,Website,Card,,2,5395000,11%,Completed,9646000,3.3,FALSE,,
B00599,7/17/2024,8/8/2024,C0404,Student,Cultural,Website,Card,Huế,2,2162000,4%,Completed,4168000,4.9,TRUE,,
B00600,8/18/2025,11/5/2025,C0401,Young Professional,Foodie,Website,Bank Transfer,Hội An,1,2250000,12%,Completed,1991000,3.9,TRUE,,
B00601,4/30/2025,5/29/2025,C0366,Young Professional,Cultural,Mobile App,Cash,Đà Lạt,2,3110000,20%,Completed,4988000,3.5,FALSE,,
B00602,11/15/2024,1/4/2025,C0208,Family,Family,Website,Card,Hà Nội,2,3855000,27%,Completed,5644000,3.6,TRUE,,
B00603,8/5/2025,8/31/2025,C0236,Family,Beach,Website,E-wallet,Hạ Long,1,3245000,9%,Completed,2953000,4.4,TRUE,,
B00604,9/26/2024,11/12/2024,C0127,Young Professional,Foodie,Website,Bank Transfer,Phú Quốc,1,2494000,19%,Completed,2033000,3.8,TRUE,,
B00605,3/28/2024,5/13/2024,C0387,Family,Foodie,Website,Bank Transfer,Phú Quốc,2,2006000,22%,Completed,3117000,4.3,FALSE,,
B00606,1/23/2024,2/2/2024,C0201,Family,Family,Mobile App,Card,Phú Quốc,4,4101000,14%,Completed,14189000,3.7,FALSE,,
B00607,8/7/2025,10/1/2025,C0325,Family,Adventure,Mobile App,Card,Đà Nẵng,2,5387000,21%,Completed,8468000,3.3,FALSE,,
B00608,8/20/2025,11/1/2025,C0152,Corporate,Beach,Mobile App,Cash,Hà Nội,3,3767000,17%,Completed,9402000,4.9,TRUE,,
B00609,4/5/2025,6/29/2025,C0311,Young Professional,City Break,Website,Card,Đà Lạt,2,1242000,7%,Completed,2320000,4.4,TRUE,,
B00610,3/5/2024,4/10/2024,C0095,Young Professional,Family,Website,Cash,Đà Nẵng,4,2549000,14%,Completed,8758000,4,FALSE,,
B00611,7/1/2024,9/20/2024,C0309,Young Professional,Beach,Agent,Bank Transfer,Phú Quốc,4,3912000,1%,Completed,15476000,3.9,FALSE,,
B00612,1/26/2024,4/16/2024,C0020,Family,Adventure,Mobile App,Card,Hạ Long,1,4691000,14%,Completed,4044000,4.9,TRUE,,
B00613,2/1/2024,5/1/2024,C0045,Family,Adventure,Website,Card,Đà Nẵng,1,3538000,3%,Completed,3442000,4.5,FALSE,,
B00614,6/2/2024,7/12/2024,C0148,Young Professional,City Break,Website,Card,Hội An,1,1400000,0%,Completed,1400000,4.8,TRUE,,
B00615,12/22/2024,3/10/2025,C0203,Young Professional,Family,Agent,Card,Hà Nội,4,2848000,13%,Completed,9888000,3.9,TRUE,,
B00616,2/10/2024,4/5/2024,C0299,Family,Family,Agent,Cash,Đà Nẵng,3,2888000,5%,Cancelled,0,,TRUE,,
B00617,9/5/2025,9/19/2025,C0151,Family,Family,Agent,Bank Transfer,Sa Pa,2,2971000,12%,Completed,5229000,4.4,FALSE,,
B00618,10/10/2024,11/10/2024,C0008,Family,Cultural,Mobile App,Card,Sa Pa,3,1723000,13%,Completed,4507000,3.9,TRUE,,
B00619,6/13/2024,8/16/2024,C0137,Corporate,Cultural,Website,Bank Transfer,Sa Pa,4,3069000,7%,Completed,11454000,4.2,TRUE,,
B00620,11/17/2024,12/10/2024,C0185,Family,Beach,Website,Card,TP.HCM,1,3565000,2%,Completed,3479000,3.9,TRUE,,
B00621,5/7/2025,6/21/2025,C0229,Family,City Break,Website,Bank Transfer,Hội An,1,2071000,10%,Completed,1872000,4.4,TRUE,,
B00622,7/13/2024,9/23/2024,C0271,Student,Cultural,Mobile App,Card,Nha Trang,1,3007000,12%,Completed,2661000,3.5,FALSE,,
B00623,1/30/2024,2/21/2024,C0105,Family,Cultural,Mobile App,Bank Transfer,Huế,1,2351000,15%,Completed,2008000,4.5,FALSE,,
B00624,2/1/2024,3/22/2024,C0257,Family,Cultural,Website,Bank Transfer,Phú Quốc,3,3788000,5%,Completed,10819000,4.4,FALSE,,
B00625,6/14/2025,7/11/2025,C0266,Student,Beach,Agent,Card,Huế,2,4962000,5%,Completed,9398000,4.1,TRUE,,
B00626,3/10/2024,5/2/2024,C0327,Family,Adventure,Website,Cash,TP.HCM,1,4263000,19%,Completed,3470000,4.4,FALSE,,
B00627,1/30/2025,2/28/2025,C0220,Young Professional,Cultural,Website,Bank Transfer,Nha Trang,1,2334000,-20%,Completed,1919000,4,TRUE,,
B00628,8/27/2024,11/23/2024,C0341,Student,Beach,Website,Card,Sa Pa,1,4973000,7%,Cancelled,0,,TRUE,,
B00629,4/29/2025,5/15/2025,C0094,Young Professional,Family,Agent,Bank Transfer,,3,3238000,9%,Completed,8869000,4.5,TRUE,,
B00630,2/7/2024,5/5/2024,C0299,Family,Cultural,Agent,E-wallet,Phú Quốc,1,2733000,6%,Completed,2566000,4.5,FALSE,,
B00631,7/13/2025,9/25/2025,C0020,Family,Cultural,Mobile App,Bank Transfer,Nha Trang,2,3396000,8%,Completed,6242000,3.9,TRUE,,
B00632,3/10/2025,5/28/2025,C0044,Young Professional,Cultural,Call Center,Card,Huế,2,1500000,4%,Cancelled,0,,TRUE,,
B00633,10/6/2024,12/23/2024,C0364,Student,City Break,Agent,Cash,TP.HCM,3,2056000,5%,Completed,5835000,4.1,TRUE,,
B00634,5/8/2024,6/2/2024,C0200,Young Professional,Cultural,Agent,E-wallet,Huế,1,3351000,9%,Completed,3066000,3.9,TRUE,,
B00635,8/31/2025,11/24/2025,C0261,Student,Family,Agent,Cash,Đà Lạt,4,2395000,7%,Cancelled,0,,TRUE,,
B00636,7/7/2024,9/3/2024,C0254,Young Professional,Foodie,Website,Card,Nha Trang,1,2489000,12%,Completed,2203000,4.4,FALSE,,
B00637,11/1/2024,1/27/2025,C0292,Student,Family,Agent,Card,Hội An,3,2829000,11%,Completed,7579000,4.2,TRUE,,
B00638,9/2/2024,11/22/2024,C0104,Corporate,Cultural,Mobile App,Bank Transfer,Đà Nẵng,3,2622000,18%,Completed,6427000,3.7,FALSE,,
B00639,5/23/2024,7/18/2024,C0075,Student,Family,Agent,Card,Huế,4,3944000,4%,Completed,15208000,4.6,TRUE,,
B00640,9/16/2024,10/26/2024,C0018,Student,Adventure,Website,Card,Hạ Long,1,3523000,9%,Completed,3224000,3.9,FALSE,,
B00641,4/4/2024,4/23/2024,C0364,Student,Cultural,Agent,Card,Huế,1,2060000,7%,Completed,1918000,3.9,TRUE,,
B00642,1/2/2024,1/20/2024,C0094,Young Professional,Adventure,Call Center,Bank Transfer,Huế,2,3861000,5%,Completed,7320000,4.6,FALSE,,
B00643,6/29/2024,8/9/2024,C0242,Family,Cultural,Website,Card,Phú Quốc,3,2651000,8%,Completed,7309000,4.4,FALSE,,
B00644,3/10/2024,5/24/2024,C0192,Young Professional,Beach,Call Center,Bank Transfer,Nha Trang,2,3510000,11%,Completed,6234000,2.9,FALSE,,
B00645,9/15/2024,11/4/2024,C0069,Student,Cultural,Website,Bank Transfer,Hạ Long,1,3567000,12%,Completed,3128000,4.1,TRUE,,
B00646,6/21/2025,8/9/2025,C0174,Corporate,Beach,Website,E-wallet,Hà Nội,1,3494000,11%,Completed,3106000,4.3,TRUE,,
B00647,4/11/2024,5/10/2024,C0035,Young Professional,Cultural,Website,Bank Transfer,Hạ Long,1,1834000,20%,Completed,1467000,4,FALSE,,
B00648,1/1/2024,2/25/2024,C0075,Student,Adventure,Agent,Card,Nha Trang,1,4644000,2%,Completed,4546000,4.3,FALSE,,
B00649,3/10/2024,5/10/2024,C0059,Student,Foodie,Mobile App,Cash,Phú Quốc,2,3616000,16%,Completed,6082000,3.3,FALSE,,
B00650,11/12/2024,2/9/2025,C0347,Corporate,Beach,Website,Card,Đà Lạt,2,2629000,13%,Completed,4553000,2.8,TRUE,,
B00651,6/20/2024,8/28/2024,C0239,Student,Family,Mobile App,E-wallet,Đà Lạt,2,3591000,4%,Completed,6880000,3.7,FALSE,,
B00652,10/31/2024,12/29/2024,C0389,Student,Adventure,Website,Card,Hà Nội,2,4937000,7%,Completed,9153000,4.3,FALSE,,
B00653,1/19/2024,4/11/2024,C0184,Young Professional,Beach,Website,Cash,Nha Trang,2,3612000,2%,Completed,7108000,2.6,FALSE,,
B00654,7/26/2024,9/8/2024,C0085,Student,Cultural,Agent,Bank Transfer,Đà Lạt,2,1757000,21%,Completed,2783000,3.8,TRUE,,
B00655,9/12/2024,12/6/2024,C0256,Family,Beach,Mobile App,Card,Đà Nẵng,1,3206000,8%,Completed,2946000,3.2,FALSE,,
B00656,9/25/2024,11/3/2024,C0391,Family,Beach,Agent,Bank Transfer,Đà Nẵng,1,4451000,7%,Completed,4148000,4.1,TRUE,,
B00657,12/9/2024,12/29/2024,C0224,Corporate,Cultural,Mobile App,Card,Hội An,1,2502000,4%,Completed,2409000,5,TRUE,,
B00658,5/1/2025,6/13/2025,C0008,Family,Cultural,Call Center,Card,Đà Lạt,1,2377000,0%,Cancelled,0,,TRUE,,
B00659,10/18/2024,11/7/2024,C0128,Student,Adventure,Website,Card,Hạ Long,1,6729000,10%,Completed,6049000,4.1,TRUE,,
B00660,6/8/2025,6/27/2025,C0389,Student,Beach,Website,Card,TP.HCM,1,3360000,4%,Completed,3222000,4.6,TRUE,,
B00661,11/26/2024,2/15/2025,C0218,Student,Beach,Website,Cash,Hội An,1,4236000,4%,Completed,4067000,4.2,TRUE,,
B00662,6/11/2024,8/24/2024,C0400,Young Professional,Beach,Mobile App,E-wallet,TP.HCM,1,4428000,9%,Completed,4025000,4.1,FALSE,,
B00663,5/22/2024,6/18/2024,C0214,Family,Adventure,Mobile App,Card,Hội An,3,3720000,11%,Completed,9921000,4.7,FALSE,,
B00664,7/19/2024,10/4/2024,C0006,Corporate,Cultural,Agent,Cash,Hội An,2,1828000,12%,Completed,3225000,4.4,TRUE,,
B00665,1/7/2025,1/22/2025,C0367,Family,Adventure,Website,Bank Transfer,Phú Quốc,1,6195000,10%,Completed,5563000,4.3,TRUE,,
B00666,5/31/2024,7/3/2024,C0321,Corporate,Beach,Website,Bank Transfer,Nha Trang,3,4208000,8%,Completed,11652000,4.1,FALSE,,
B00667,7/23/2025,9/28/2025,C0301,Family,Beach,Mobile App,Card,,1,2969000,12%,Completed,2616000,4,TRUE,,
B00668,10/25/2024,11/28/2024,C0408,Family,Foodie,Call Center,E-wallet,TP.HCM,1,2434000,6%,Completed,2300000,4.7,TRUE,,
B00669,6/21/2025,8/29/2025,C0083,Family,Beach,Website,Card,Nha Trang,3,4788000,3%,Completed,13876000,4,TRUE,,
B00670,3/1/2025,5/20/2025,C0381,Family,Beach,Website,Cash,Đà Lạt,1,3519000,10%,Completed,3160000,4.8,TRUE,,
B00671,7/26/2024,8/10/2024,C0098,Student,Beach,Website,Cash,Phú Quốc,1,5161000,7%,Cancelled,0,,FALSE,,
B00672,5/22/2024,6/2/2024,C0408,Family,Foodie,Website,Bank Transfer,Nha Trang,1,1842000,6%,Completed,1731000,4.9,TRUE,,
B00673,4/8/2025,7/3/2025,C0081,Family,Family,Website,Card,Sa Pa,3,3189000,7%,Completed,8916000,4.4,FALSE,,
B00674,7/25/2024,9/15/2024,C0232,Young Professional,Family,Website,Card,Nha Trang,4,4630000,3%,Completed,17983000,3.7,TRUE,,
B00675,6/2/2024,7/23/2024,C0332,Young Professional,Foodie,Mobile App,Bank Transfer,Đà Nẵng,1,2921000,9%,Completed,2667000,4.5,FALSE,,
B00676,8/2/2025,9/18/2025,C0033,Young Professional,Beach,Website,Card,Đà Nẵng,1,4383000,12%,Completed,3857000,3.9,TRUE,,
B00677,10/27/2024,12/11/2024,C0029,Student,Foodie,Website,Card,Hà Nội,1,2237000,16%,Completed,1875000,4.2,TRUE,,
B00678,1/31/2024,4/5/2024,C0357,Family,Beach,Website,Bank Transfer,Hội An,2,4895000,10%,Completed,8840000,4,TRUE,,
B00679,11/4/2024,12/30/2024,C0026,Student,Family,Agent,Cash,Hạ Long,3,2499000,7%,Completed,6950000,4.1,TRUE,,
B00680,10/14/2024,11/6/2024,C0258,Student,Cultural,Website,Card,Sa Pa,3,2891000,29%,Completed,6158000,4.7,FALSE,,
B00681,6/22/2025,8/21/2025,C0395,Student,Cultural,Website,Card,Nha Trang,2,1797000,7%,Completed,3350000,4.5,TRUE,,
B00682,3/19/2025,5/22/2025,C0259,Student,Foodie,Website,E-wallet,TP.HCM,1,2719000,75%,Completed,2404000,3.6,TRUE,,
B00683,4/29/2024,5/18/2024,C0203,Young Professional,Beach,Mobile App,Card,Hạ Long,2,3188000,6%,Completed,5987000,3.7,TRUE,,
B00684,4/3/2024,5/13/2024,C0176,Student,Foodie,Agent,Card,Hà Nội,1,2673000,21%,Completed,2106000,4.3,TRUE,,
B00685,1/11/2025,3/26/2025,C0269,Student,Cultural,Website,Card,Đà Lạt,1,3051000,5%,Completed,2898000,4.4,TRUE,,
B00686,1/30/2024,3/30/2024,C0241,Family,Family,Website,Card,Hạ Long,3,3625000,15%,Completed,9287000,3.9,FALSE,,
B00687,7/17/2024,8/7/2024,C0211,Family,Foodie,Website,E-wallet,Đà Lạt,1,3073000,4%,Completed,2947000,5,FALSE,,
B00688,3/27/2024,4/9/2024,C0065,Family,Beach,Mobile App,Card,TP.HCM,2,3684000,11%,Completed,6565000,4.6,TRUE,,
B00689,1/13/2024,3/10/2024,C0279,Corporate,Foodie,Agent,Card,Đà Nẵng,4,2067000,4%,Cancelled,0,,FALSE,,
B00690,7/26/2025,9/11/2025,C0311,Young Professional,Adventure,Website,Card,Hội An,1,3828000,20%,Completed,3059000,3.8,TRUE,,
B00691,2/25/2024,5/22/2024,C0298,Family,Family,Website,Card,TP.HCM,3,3174000,10%,Completed,8541000,4.1,FALSE,,
B00692,1/6/2024,2/27/2024,C0032,Corporate,Beach,Agent,Card,Phú Quốc,2,3950000,5%,Completed,7529000,4,FALSE,,
B00693,8/4/2025,10/28/2025,C0296,Corporate,Adventure,Agent,E-wallet,Nha Trang,1,5466000,20%,Completed,4400000,4.8,TRUE,,
B00694,4/27/2024,5/24/2024,C0307,Young Professional,Family,Website,Bank Transfer,Đà Lạt,2,2429000,9%,Completed,4421000,4.7,TRUE,,
B00695,5/23/2025,7/8/2025,C0078,Family,Adventure,Website,Card,Đà Nẵng,3,6101000,7%,Completed,16967000,4.2,TRUE,,
B00696,1/20/2024,2/10/2024,C0357,Family,Beach,Website,Card,Hạ Long,3,5254000,17%,Cancelled,0,,FALSE,,
B00697,4/5/2024,5/31/2024,C0221,Young Professional,Cultural,Agent,Card,Đà Lạt,4,2288000,15%,Completed,7798000,4.6,FALSE,,
B00698,3/9/2024,4/3/2024,C0199,Student,City Break,Mobile App,Card,Sa Pa,1,1332000,0%,Cancelled,0,,FALSE,,
B00699,3/16/2025,5/4/2025,C0304,Young Professional,Beach,Mobile App,Cash,Nha Trang,1,5308000,16%,Completed,4448000,4.4,TRUE,,
B00700,1/21/2025,2/27/2025,C0215,Family,Family,Agent,Card,Hà Nội,3,2673000,11%,Completed,7105000,4.5,FALSE,,
B00701,10/23/2024,11/17/2024,C0229,Family,Foodie,Website,Bank Transfer,Nha Trang,3,2790000,10%,Completed,7533000,4.4,FALSE,,
B00702,5/30/2024,6/16/2024,C0132,Corporate,Beach,Website,Bank Transfer,Nha Trang,1,3410000,6%,Completed,3219000,3.8,FALSE,,
B00703,2/25/2024,4/16/2024,C0390,Corporate,Beach,Website,Card,Nha Trang,1,3849000,2%,Completed,3760000,3.9,FALSE,,
B00704,12/20/2024,3/16/2025,C0408,Family,Family,Agent,E-wallet,Hạ Long,2,4024000,13%,Completed,6986000,4.1,TRUE,,
B00705,5/23/2024,6/18/2024,C0055,Family,Beach,Mobile App,Card,Hạ Long,2,5491000,1%,Cancelled,0,,TRUE,,
B00706,1/2/2025,2/13/2025,C0308,Family,Adventure,Website,Card,Sa Pa,2,4544000,10%,Completed,8152000,3.5,FALSE,,
B00707,3/4/2025,4/1/2025,C0010,Young Professional,Family,Website,Bank Transfer,Hội An,4,2733000,13%,Completed,9522000,4.5,TRUE,,
B00708,6/13/2025,8/27/2025,C0155,Student,Adventure,Agent,Card,Hội An,1,5463000,10%,Completed,4900000,4.4,FALSE,,
B00709,11/3/2024,12/16/2024,C0408,Family,Cultural,Agent,Cash,Phú Quốc,2,3392000,3%,Completed,6601000,3.5,TRUE,,
B00710,1/3/2024,3/31/2024,C0074,Young Professional,Family,Mobile App,Bank Transfer,Đà Nẵng,3,2682000,21%,Completed,6380000,4.1,FALSE,,
B00711,6/23/2024,7/22/2024,C0159,Family,Adventure,Website,Card,Sa Pa,1,5330000,10%,Completed,4808000,4.1,TRUE,,
B00712,6/15/2025,7/1/2025,C0093,Young Professional,Beach,Agent,Bank Transfer,Hạ Long,1,3985000,4%,Completed,3814000,4.3,TRUE,,
B00713,11/28/2024,1/24/2025,C0306,Young Professional,Adventure,Agent,Card,Đà Nẵng,2,4914000,5%,Cancelled,0,,TRUE,,
B00714,1/20/2025,3/23/2025,C0195,Student,City Break,Mobile App,Bank Transfer,Hạ Long,1,2775000,3%,Completed,2683000,3.5,TRUE,,
B00715,10/12/2024,1/10/2025,C0250,Young Professional,Family,Mobile App,Card,Hạ Long,5,4223000,14%,Completed,18243000,4.5,TRUE,,
B00716,4/11/2024,6/30/2024,C0396,Young Professional,Beach,Agent,Card,Nha Trang,1,5001000,3%,Cancelled,0,,FALSE,,
B00717,7/12/2025,10/1/2025,C0219,Corporate,Cultural,Agent,Card,Hạ Long,1,3560000,19%,Cancelled,0,,TRUE,,
B00718,4/26/2025,6/26/2025,C0309,Young Professional,Beach,Mobile App,Bank Transfer,TP.HCM,2,3571000,3%,Completed,6906000,4,TRUE,,
B00719,9/11/2025,10/20/2025,C0042,Family,Cultural,Website,Card,Hà Nội,2,3104000,7%,Cancelled,0,,TRUE,,
B00720,6/16/2025,7/30/2025,C0091,Student,Beach,Website,Bank Transfer,Đà Lạt,1,3638000,7%,Cancelled,0,,TRUE,,
B00721,6/30/2024,7/20/2024,C0398,Young Professional,Foodie,Agent,Card,Hội An,2,1832000,3%,Completed,3543000,5,TRUE,,
B00722,6/7/2024,7/21/2024,C0362,Student,Beach,Mobile App,Card,Đà Lạt,1,2677000,6%,Completed,2516000,3.4,FALSE,,
B00723,6/3/2024,7/12/2024,C0276,Young Professional,City Break,Website,Card,Huế,1,2843000,10%,Completed,2562000,4.6,FALSE,,
B00724,7/26/2025,8/7/2025,C0159,Family,Beach,Website,Card,Đà Nẵng,2,5198000,7%,Completed,9720000,2.9,TRUE,,
B00725,12/12/2024,1/7/2025,C0084,Student,Cultural,Agent,E-wallet,Đà Nẵng,2,3437000,13%,Completed,6001000,4.9,FALSE,,
B00726,10/10/2024,12/2/2024,C0358,Family,Cultural,Agent,Card,Phú Quốc,1,1921000,7%,Completed,1790000,3.2,TRUE,,
B00727,8/26/2025,10/4/2025,C0330,Young Professional,Cultural,Call Center,Cash,Hà Nội,1,3368000,2%,Completed,3307000,5,FALSE,,
B00728,1/10/2025,4/10/2025,C0102,Family,City Break,Website,Cash,Sa Pa,2,2908000,14%,Completed,4978000,4,TRUE,,
B00729,7/20/2025,9/6/2025,C0248,Young Professional,Foodie,Agent,Card,Đà Lạt,1,2805000,13%,Completed,2440000,4.8,TRUE,,
