Mã đặt chỗ,Ngày đặt tour,Ngày đi tour,Mã khách hàng,Nhóm khách hàng,Loại tour,Kênh bán hàng,Kênh thanh toán,Địa điểm,Số lượng người đi,Giá gốc (VND),Giảm giá,Mức độ hoàn thành,Giá cuối cùng,Mức độ hài lòng,Trở lại sử dụng dịch vụ
B01034,8/9/2025,10/21/2025,C0133,Gia đình,Khám phá,Website,Thẻ,Đà Nẵng,3,5574000,13%,Hoàn thành,14481000,4.9,Đúng
B01035,9/11/2024,11/7/2024,C0014,Gia đình,Biển,App điện thoại,Thẻ,Nha Trang,2,3219000,7%,Hoàn thành,5968000,5,Sai
B01036,3/16/2024,5/25/2024,C0326,Gia đình,City Break,App điện thoại,Thẻ,Huế,2,1998000,12%,Hoàn thành,3536000,4.8,Sai
B01037,5/25/2024,6/12/2024,C0029,Học sinh,Biển,Đại lý,Thẻ,Nha Trang,1,5382000,10%,Hoàn thành,4865000,3.9,Đúng
B01038,7/12/2025,9/26/2025,C0322,Người đi làm,Văn hóa,Website,Thẻ,Hà Nội,3,2853000,2%,Hoàn thành,8388000,4.6,Đúng
B01039,3/28/2025,4/23/2025,C0309,Người đi làm,Khám phá,App điện thoại,Thẻ,Đà Nẵng,1,3856000,12%,Hoàn thành,3393000,4.6,Đúng
B01040,3/3/2024,4/18/2024,C0355,Người đi làm,Biển,Đại lý,Tiền,Huế,1,3134000,6%,Hoàn thành,2937000,5,Sai
B01041,8/27/2024,10/11/2024,C0202,Doanh nghiệp,Biển,Website,Thẻ,Huế,3,2790000,6%,Hoàn thành,7893000,3.7,Đúng
B01042,6/13/2024,8/28/2024,C0377,Doanh nghiệp,Gia đình,Đại lý,Thẻ,Đà Nẵng,5,3888000,7%,Hoàn thành,18079000,4.5,Sai
B01043,4/20/2024,5/22/2024,C0072,Người đi làm,Biển,Website,Tiền,Phú Quốc,4,3455000,9%,Hoàn thành,12618000,3.9,Sai
B01044,6/11/2025,7/10/2025,C0183,Người đi làm,Khám phá,Website,Thẻ,Hà Nội,1,5925000,1%,Hoàn thành,5860000,4.5,Đúng
B01045,1/19/2025,2/25/2025,C0052,Học sinh,Văn hóa,App điện thoại,Chuyển khoản,Hội An,1,3183000,20%,Hoàn thành,2550000,4.1,Đúng
B01046,4/21/2024,5/30/2024,C0323,Người đi làm,Biển,Website,Ví điện tử,TP.HCM,1,4654000,18%,Hoàn thành,3840000,4.4,Đúng
B01047,2/9/2025,3/5/2025,C0300,Gia đình,Biển,Website,Ví điện tử,Hạ Long,1,5346000,0%,Hoàn thành,5325000,3.5,Đúng
B01048,9/14/2024,10/8/2024,C0339,Học sinh,Gia đình,Website,Thẻ,Huế,4,2222000,3%,Hoàn thành,8604000,4.6,Đúng
B01049,2/8/2024,3/7/2024,C0322,Người đi làm,Ăn uống,Website,Thẻ,TP.HCM,2,1997000,16%,Hoàn thành,3371000,4.3,Đúng
B01050,10/7/2024,11/23/2024,C0130,Gia đình,Biển,Đại lý,Tiền,Nha Trang,1,4524000,10%,Hoàn thành,4058000,4.3,Đúng
B01051,4/25/2024,6/1/2024,C0029,Học sinh,Ăn uống,Đại lý,Tiền,Hà Nội,1,1741000,12%,Hoàn thành,1532000,5,Sai
B01052,6/1/2024,7/12/2024,C0391,Gia đình,Khám phá,App điện thoại,Tiền,Đà Lạt,1,5049000,9%,Hoàn thành,4620000,4,Sai
B01053,7/1/2025,9/7/2025,C0207,Học sinh,Gia đình,Website,Thẻ,Hà Nội,4,2247000,14%,Hoàn thành,7748000,4.4,Đúng
B01054,3/18/2025,4/16/2025,C0040,Gia đình,Gia đình,App điện thoại,Thẻ,Đà Nẵng,4,2236000,6%,Hoàn thành,8416000,4.3,Đúng
B01055,3/24/2024,6/15/2024,C0390,Doanh nghiệp,Gia đình,Đại lý,Thẻ,Huế,2,3114000,8%,Hoàn thành,5730000,4.3,Đúng
B01056,6/14/2025,8/23/2025,C0418,Gia đình,City Break,Đại lý,Thẻ,Hà Nội,1,1463000,1%,Hủy bỏ,0,,Đúng
B01057,12/23/2024,1/16/2025,C0188,Học sinh,Khám phá,Website,Thẻ,Hạ Long,1,4291000,20%,Hoàn thành,3441000,4.2,Đúng
B01058,6/28/2025,8/2/2025,C0324,Người đi làm,Khám phá,Website,Ví điện tử,Hà Nội,1,3601000,8%,Hoàn thành,3324000,3.9,Đúng
B01059,4/10/2025,5/4/2025,C0016,Người đi làm,Văn hóa,Đại lý,Thẻ,Hội An,3,1627000,7%,Hủy bỏ,0,,Đúng
B01060,7/30/2024,8/31/2024,C0040,Gia đình,Biển,Đại lý,Tiền,Nha Trang,2,5055000,9%,Hoàn thành,9180000,4,Đúng
B01061,11/29/2024,1/7/2025,C0117,Gia đình,Gia đình,Website,Ví điện tử,Huế,2,2349000,25%,Hoàn thành,3505000,3.4,Sai
B01062,11/26/2024,12/16/2024,C0276,Người đi làm,Biển,Đại lý,Thẻ,TP.HCM,2,4299000,5%,Hoàn thành,8160000,3.8,Đúng
B01063,3/24/2025,4/4/2025,C0057,Người đi làm,Văn hóa,Website,Thẻ,TP.HCM,1,2000000,15%,Hoàn thành,1694000,3.6,Đúng
B01064,6/3/2024,7/18/2024,C0015,Người đi làm,Biển,Website,Tiền,Sa Pa,1,4829000,4%,Hoàn thành,4621000,3.3,Sai
B01065,7/26/2024,9/30/2024,C0281,Học sinh,Biển,Đại lý,Thẻ,Sa Pa,2,4569000,13%,Hoàn thành,7996000,4,Sai
B01066,6/1/2024,7/5/2024,C0324,Người đi làm,Gia đình,App điện thoại,Thẻ,Phú Quốc,2,3340000,0%,Hoàn thành,6680000,4.2,Đúng
B01067,7/3/2024,9/20/2024,C0311,Người đi làm,Gia đình,Website,Chuyển khoản,Hà Nội,3,3767000,12%,Hủy bỏ,0,,Sai
B01068,4/10/2024,5/19/2024,C0336,Gia đình,Văn hóa,Đại lý,Chuyển khoản,Đà Nẵng,3,3453000,12%,Hoàn thành,9085000,4.5,Đúng
B01069,1/23/2024,4/14/2024,C0338,Gia đình,Biển,Đại lý,Chuyển khoản,Hạ Long,3,3098000,23%,Hủy bỏ,0,,Sai
B01070,8/8/2025,9/6/2025,C0254,Người đi làm,Văn hóa,Website,Ví điện tử,Khác,1,3244000,1%,Hoàn thành,3205000,3.8,Đúng
B01071,2/16/2024,4/9/2024,C0219,Doanh nghiệp,Văn hóa,App điện thoại,Thẻ,Hội An,2,2598000,10%,Hoàn thành,4661000,4.6,Sai
B01072,7/7/2025,9/16/2025,C0360,Gia đình,Gia đình,Đại lý,Chuyển khoản,Đà Nẵng,3,3293000,20%,Hoàn thành,7933000,4.9,Đúng
B01073,1/2/2024,1/16/2024,C0147,Người đi làm,Khám phá,App điện thoại,Tiền,Đà Nẵng,2,6569000,11%,Hoàn thành,11759000,4.4,Sai
B01074,4/29/2025,7/23/2025,C0042,Gia đình,Khám phá,Gọi điện tư vấn,Tiền,Huế,1,3323000,5%,Hoàn thành,3147000,4.4,Đúng
B01075,7/23/2024,8/31/2024,C0316,Người đi làm,Khám phá,App điện thoại,Chuyển khoản,Sa Pa,2,4857000,3%,Hoàn thành,9452000,3.6,Đúng
B01076,11/18/2024,1/7/2025,C0116,Doanh nghiệp,Ăn uống,Website,Chuyển khoản,TP.HCM,1,2970000,6%,Hủy bỏ,0,,Đúng
B01077,6/24/2024,8/23/2024,C0412,Gia đình,Gia đình,Website,Chuyển khoản,Huế,5,2046000,0%,Hoàn thành,10230000,5,Đúng
B01078,11/1/2024,1/2/2025,C0174,Doanh nghiệp,Khám phá,Đại lý,Thẻ,Hội An,3,5676000,8%,Hoàn thành,15632000,4.4,Đúng
B01079,10/8/2024,10/19/2024,C0358,Gia đình,Khám phá,Gọi điện tư vấn,Tiền,Đà Lạt,1,3662000,6%,Hủy bỏ,0,,Đúng
B01080,11/26/2024,2/14/2025,C0018,Học sinh,Biển,Website,Thẻ,Đà Lạt,2,-100000,13%,Hoàn thành,5908000,4.1,Đúng
B01081,9/2/2024,11/1/2024,C0277,Người đi làm,Biển,Website,Tiền,Sa Pa,1,2194000,7%,Hoàn thành,2034000,4,Đúng
B01082,11/30/2024,2/28/2025,C0189,Gia đình,Văn hóa,Đại lý,Chuyển khoản,Đà Lạt,2,1735000,9%,Hoàn thành,3154000,4,Đúng
B01083,5/29/2025,7/16/2025,C0195,Học sinh,Văn hóa,Website,Chuyển khoản,Khác,1,2790000,4%,Hủy bỏ,0,,Đúng
B01084,9/27/2024,11/25/2024,C0112,Người đi làm,Ăn uống,Website,Thẻ,Phú Quốc,1,2969000,12%,Hoàn thành,2622000,4.3,Đúng
B01085,8/13/2024,9/27/2024,C0408,Gia đình,Gia đình,Đại lý,Thẻ,TP.HCM,4,2033000,9%,Hoàn thành,7416000,4.7,Đúng
B01086,3/23/2024,6/13/2024,C0165,Gia đình,Biển,Đại lý,Thẻ,Huế,1,2715000,2%,Hoàn thành,2666000,4.4,Đúng
B01087,8/12/2024,10/28/2024,C0358,Gia đình,Biển,Đại lý,Thẻ,Đà Lạt,2,2745000,75%,Hoàn thành,4804000,3.8,Sai
B01088,3/19/2024,6/10/2024,C0179,Doanh nghiệp,Biển,App điện thoại,Thẻ,Nha Trang,2,4634000,10%,Hoàn thành,8313000,3.9,Sai
B01089,4/23/2024,6/12/2024,C0021,Gia đình,Khám phá,Website,Ví điện tử,Phú Quốc,1,5389000,7%,Hoàn thành,5039000,3.9,Đúng
B01090,8/16/2025,10/29/2025,C0370,Doanh nghiệp,Biển,Đại lý,Thẻ,Khác,1,3004000,8%,Hoàn thành,2755000,4.1,Đúng
B01091,2/25/2024,4/4/2024,C0078,Gia đình,Ăn uống,Website,Ví điện tử,Nha Trang,2,2711000,11%,Hoàn thành,4809000,5,Sai
B01092,10/27/2024,12/13/2024,C0114,Gia đình,Ăn uống,Website,Thẻ,Phú Quốc,2,3080000,0%,Hoàn thành,6160000,5,Đúng
B01093,6/3/2025,8/13/2025,C0362,Học sinh,Khám phá,Đại lý,Chuyển khoản,Hạ Long,1,5654000,5%,Hoàn thành,5349000,4.6,Đúng
B01094,8/16/2025,9/1/2025,C0376,Học sinh,Gia đình,App điện thoại,Tiền,Sa Pa,3,2625000,10%,Hoàn thành,7119000,4.3,Đúng
B01095,4/1/2024,6/7/2024,C0386,Doanh nghiệp,Văn hóa,Đại lý,Tiền,Hạ Long,2,1781000,2%,Hoàn thành,3480000,3.5,Sai
B01096,4/11/2024,4/22/2024,C0179,Doanh nghiệp,Biển,Website,Tiền,Khác,2,3229000,8%,Hoàn thành,5974000,4.3,Đúng
B01097,8/20/2024,10/16/2024,C0318,Gia đình,Gia đình,Gọi điện tư vấn,Chuyển khoản,Nha Trang,4,3107000,10%,Hoàn thành,11247000,3.8,Đúng
B01098,12/11/2024,1/28/2025,C0138,Người đi làm,Biển,App điện thoại,Ví điện tử,Hội An,1,4226000,18%,Hoàn thành,3465000,5,Đúng
B01099,8/20/2025,10/6/2025,C0311,Người đi làm,Biển,App điện thoại,Tiền,Hà Nội,2,4123000,19%,Hoàn thành,6712000,3.4,Đúng
B01100,5/9/2024,6/28/2024,C0212,Gia đình,Văn hóa,Đại lý,Thẻ,Sa Pa,2,1653000,2%,Hoàn thành,3230000,4.4,Đúng
B01101,4/12/2024,5/31/2024,C0022,Người đi làm,Biển,Website,Thẻ,Đà Lạt,1,3702000,9%,Hoàn thành,3373000,3.8,Đúng
B01101,4/12/2024,5/31/2024,C0022,Người đi làm,Biển,Website,Thẻ,Đà Lạt,1,3702000,9%,Hoàn thành,3373000,3.8,Đúng
B01102,6/6/2024,7/18/2024,C0176,Học sinh,Văn hóa,Đại lý,Chuyển khoản,Đà Nẵng,1,1841000,4%,Hoàn thành,1767000,4.2,Đúng
B01103,6/28/2025,8/13/2025,C0197,Gia đình,Gia đình,App điện thoại,Thẻ,Đà Nẵng,2,2994000,9%,Hoàn thành,5437000,4.5,Đúng
B01104,1/19/2024,3/15/2024,C0109,Học sinh,City Break,Đại lý,Thẻ,Đà Nẵng,3,2805000,13%,Hoàn thành,7329000,4.7,Sai
B01105,8/24/2024,11/3/2024,C0158,Gia đình,Gia đình,Đại lý,Tiền,Đà Lạt,3,2124000,13%,Hủy bỏ,0,,Sai
B01106,3/15/2024,5/8/2024,C0212,Gia đình,City Break,App điện thoại,Thẻ,Hội An,2,2715000,15%,Hoàn thành,4605000,4.6,Sai
B01107,4/7/2024,6/8/2024,C0021,Gia đình,Văn hóa,Website,Chuyển khoản,Hội An,2,3186000,4%,Hoàn thành,6143000,3.9,Sai
B01108,7/25/2025,10/10/2025,C0064,Gia đình,City Break,Website,Chuyển khoản,Đà Nẵng,1,2528000,20%,Hoàn thành,2017000,4.3,Đúng
B01109,1/2/2024,4/1/2024,C0323,Người đi làm,Khám phá,Gọi điện tư vấn,Chuyển khoản,Đà Nẵng,2,6120000,12%,Hoàn thành,10771000,4.7,Sai
B01110,7/19/2024,8/6/2024,C0148,Người đi làm,Biển,Gọi điện tư vấn,Chuyển khoản,Hạ Long,2,3323000,3%,Hoàn thành,6473000,4.4,Đúng
B01111,7/24/2025,9/29/2025,C0256,Gia đình,Ăn uống,Gọi điện tư vấn,Chuyển khoản,Hà Nội,1,1634000,11%,Hoàn thành,1461000,3.9,Đúng
B01112,1/13/2025,2/10/2025,C0238,Gia đình,Văn hóa,Website,Tiền,Nha Trang,2,2868000,19%,Hoàn thành,4623000,4.1,Đúng
B01113,2/14/2024,3/10/2024,C0232,Người đi làm,Biển,Website,Ví điện tử,Nha Trang,2,5098000,9%,Hoàn thành,9238000,4.7,Sai
B01114,10/16/2024,12/29/2024,C0174,Doanh nghiệp,Văn hóa,Đại lý,Thẻ,Khác,1,1922000,10%,Hoàn thành,1734000,3.7,Đúng
B01115,8/27/2025,9/11/2025,C0203,Người đi làm,Văn hóa,Đại lý,Tiền,Hạ Long,2,2259000,8%,Hoàn thành,4148000,3.7,Đúng
B01116,9/6/2024,11/23/2024,C0347,Doanh nghiệp,Văn hóa,Website,Chuyển khoản,Phú Quốc,2,2830000,7%,Hoàn thành,5241000,4.5,Đúng
B01117,11/25/2024,2/5/2025,C0406,Doanh nghiệp,Khám phá,App điện thoại,Thẻ,Khác,1,3460000,16%,Hoàn thành,2906000,4,Sai
B01118,11/27/2024,2/25/2025,C0108,Người đi làm,City Break,Website,Thẻ,Hạ Long,4,2172000,7%,Hoàn thành,8097000,3.5,Đúng
B01119,2/15/2025,4/20/2025,C0282,Học sinh,Văn hóa,App điện thoại,Tiền,Đà Nẵng,2,2161000,17%,Hoàn thành,3592000,4.9,Đúng
B01120,4/26/2024,7/15/2024,C0408,Gia đình,Khám phá,Website,Thẻ,Khác,2,4866000,7%,Hoàn thành,9012000,3.7,Sai
B01121,6/7/2025,6/26/2025,C0004,Gia đình,Văn hóa,Website,Ví điện tử,Đà Lạt,1,2621000,3%,Hoàn thành,2555000,4.1,Đúng
B01122,9/7/2025,11/28/2025,C0330,Người đi làm,Biển,Website,Thẻ,Khác,1,2781000,12%,Hoàn thành,2458000,3.9,Đúng
B01123,3/29/2024,4/20/2024,C0209,Học sinh,Biển,Đại lý,Thẻ,Hội An,1,3639000,9%,Hoàn thành,3322000,4.1,Đúng
B01124,5/24/2025,6/28/2025,C0407,Người đi làm,Biển,Đại lý,Tiền,Đà Nẵng,2,2842000,-20%,Hoàn thành,5263000,3.8,Đúng
B01125,5/23/2025,6/12/2025,C0243,Người đi làm,Khám phá,Đại lý,Thẻ,Đà Nẵng,2,5398000,14%,Hoàn thành,9328000,4.6,Sai
B01126,4/7/2025,5/19/2025,C0353,Gia đình,Gia đình,App điện thoại,Thẻ,Đà Lạt,4,2099000,10%,Hoàn thành,7573000,4.3,Sai
B01127,8/19/2024,10/28/2024,C0070,Người đi làm,City Break,Website,Tiền,Phú Quốc,1,1684000,15%,Hoàn thành,1428000,4.7,Đúng
B01128,10/19/2024,11/19/2024,C0060,Học sinh,Khám phá,Website,Thẻ,Phú Quốc,2,4726000,12%,Hoàn thành,8308000,3.9,Đúng
B01129,6/6/2025,8/21/2025,C0390,Doanh nghiệp,Gia đình,App điện thoại,Thẻ,Huế,4,2189000,6%,Hoàn thành,8222000,5,Đúng
B01130,4/5/2024,6/3/2024,C0222,Người đi làm,Văn hóa,Website,Tiền,TP.HCM,2,2206000,5%,Hoàn thành,4178000,3.2,Đúng
B01131,5/31/2025,7/30/2025,C0235,Doanh nghiệp,Biển,Đại lý,Tiền,Đà Lạt,2,2836000,3%,Hoàn thành,5525000,3.4,Đúng
B01132,7/27/2025,10/21/2025,C0072,Người đi làm,Biển,Đại lý,Chuyển khoản,Huế,3,2707000,14%,Hoàn thành,6984000,5,Đúng
B01133,2/28/2025,4/13/2025,C0096,Gia đình,Văn hóa,Đại lý,Thẻ,Phú Quốc,1,3474000,10%,Hoàn thành,3116000,4.4,Đúng
B01134,7/31/2024,9/6/2024,C0344,Gia đình,Văn hóa,Website,Thẻ,Hội An,2,2642000,7%,Hoàn thành,4935000,4.4,Đúng
B01135,12/14/2024,3/14/2025,C0128,Học sinh,Khám phá,App điện thoại,Ví điện tử,Hội An,3,3326000,18%,Hoàn thành,8172000,4.4,Đúng
B01136,2/1/2024,3/27/2024,C0246,Doanh nghiệp,Văn hóa,Website,Tiền,Hà Nội,2,2069000,13%,Hoàn thành,3617000,4.5,Sai
B01137,8/3/2025,10/1/2025,C0133,Gia đình,Khám phá,Website,Thẻ,Hạ Long,1,7001000,11%,Hoàn thành,6259000,4.3,Đúng
B01138,8/1/2024,9/4/2024,C0111,Người đi làm,Khám phá,Đại lý,Chuyển khoản,Phú Quốc,3,4665000,20%,Hoàn thành,11196000,3.7,Đúng
B01139,2/5/2024,3/3/2024,C0070,Người đi làm,Biển,App điện thoại,Thẻ,Hội An,2,3502000,1%,Hoàn thành,6934000,4.6,Sai
B01140,5/9/2025,6/1/2025,C0391,Gia đình,Gia đình,Đại lý,Chuyển khoản,Hội An,3,2287000,11%,Hoàn thành,6099000,4.5,Đúng
B01141,2/13/2025,3/13/2025,C0395,Học sinh,Văn hóa,Website,Chuyển khoản,Đà Lạt,1,2479000,7%,Hoàn thành,2313000,4.9,Đúng
B01142,1/22/2025,2/16/2025,C0049,Gia đình,Văn hóa,Gọi điện tư vấn,Ví điện tử,Đà Nẵng,1,3710000,13%,Hoàn thành,3217000,5,Đúng
B01143,2/3/2024,4/13/2024,C0149,Người đi làm,Khám phá,Gọi điện tư vấn,Ví điện tử,Sa Pa,1,5628000,9%,Hoàn thành,5150000,4.4,Sai
B01144,4/12/2025,4/26/2025,C0237,Người đi làm,Khám phá,App điện thoại,Thẻ,Nha Trang,1,5966000,7%,Hoàn thành,5578000,3.6,Đúng
B01145,2/1/2025,4/2/2025,C0161,Học sinh,Văn hóa,Đại lý,Chuyển khoản,Hà Nội,3,2500000,20%,Hoàn thành,6007000,5,Đúng
B01146,5/9/2025,8/3/2025,C0303,Người đi làm,Văn hóa,Website,Thẻ,Đà Lạt,1,3475000,13%,Hoàn thành,3009000,3.7,Sai
B01147,5/30/2025,8/10/2025,C0110,Doanh nghiệp,Gia đình,Đại lý,Tiền,Huế,3,4025000,5%,Hoàn thành,11459000,4.4,Đúng
B01148,5/12/2024,6/23/2024,C0025,Gia đình,Gia đình,Đại lý,Tiền,Đà Lạt,4,3551000,7%,Hoàn thành,13167000,4.1,Sai
B01149,5/11/2024,5/25/2024,C0142,Người đi làm,Biển,Đại lý,Thẻ,Nha Trang,3,4295000,12%,Hoàn thành,11300000,4,Sai
B01150,7/29/2025,10/14/2025,C0252,Doanh nghiệp,Văn hóa,Đại lý,Thẻ,Phú Quốc,1,3419000,22%,Hoàn thành,2653000,4.6,Đúng
B01151,11/26/2024,12/6/2024,C0076,Người đi làm,City Break,App điện thoại,Thẻ,Sa Pa,1,1609000,0%,Hoàn thành,1609000,4.3,Đúng
B01152,9/29/2024,12/3/2024,C0343,Gia đình,Biển,Đại lý,Thẻ,Phú Quốc,2,3993000,8%,Hoàn thành,7387000,4.5,Sai
B01153,6/27/2024,8/30/2024,C0006,Doanh nghiệp,City Break,App điện thoại,Thẻ,Hạ Long,3,2378000,3%,Hoàn thành,6913000,3.8,Sai
B01154,2/2/2025,2/27/2025,C0029,Học sinh,Biển,Website,Ví điện tử,TP.HCM,2,2762000,0%,Hoàn thành,5524000,4.1,Đúng
B01155,4/14/2025,6/22/2025,C0214,Gia đình,Khám phá,Website,Thẻ,Khác,1,3492000,5%,Hoàn thành,3331000,3.8,Đúng
B01156,1/2/2024,1/26/2024,C0216,Gia đình,Văn hóa,Đại lý,Chuyển khoản,Hạ Long,2,1763000,23%,Hoàn thành,2711000,4.1,Sai
B01157,12/10/2024,1/7/2025,C0124,Người đi làm,Biển,App điện thoại,Chuyển khoản,Nha Trang,2,3440000,8%,Hoàn thành,6323000,4.1,Đúng
B01158,9/10/2025,11/24/2025,C0109,Học sinh,Ăn uống,App điện thoại,Chuyển khoản,Phú Quốc,2,2332000,17%,Hoàn thành,3885000,5,Đúng
B01159,6/23/2024,9/20/2024,C0030,Gia đình,Khám phá,Đại lý,Thẻ,Đà Nẵng,3,5983000,19%,Hoàn thành,14503000,4.1,Đúng
B01160,6/23/2024,7/24/2024,C0279,Doanh nghiệp,Ăn uống,App điện thoại,Chuyển khoản,Nha Trang,2,2399000,6%,Hủy bỏ,0,,Đúng
B01161,7/1/2025,9/23/2025,C0160,Gia đình,Văn hóa,Website,Chuyển khoản,TP.HCM,2,1588000,13%,Hoàn thành,2773000,4.9,Đúng
B01162,2/8/2024,5/1/2024,C0050,Học sinh,City Break,Website,Chuyển khoản,Hà Nội,2,2694000,2%,Hoàn thành,5296000,4.4,Đúng
B01163,9/4/2024,11/15/2024,C0168,Gia đình,Ăn uống,App điện thoại,Ví điện tử,Huế,2,3107000,8%,Hoàn thành,5736000,4.1,Sai
B01164,10/12/2024,11/2/2024,C0394,Gia đình,Khám phá,Đại lý,Tiền,Đà Nẵng,2,6527000,17%,Hoàn thành,10783000,4,Sai
B01165,5/12/2025,6/15/2025,C0110,Doanh nghiệp,Biển,App điện thoại,Thẻ,Hội An,1,3240000,6%,Hoàn thành,3039000,3.7,Đúng
B01166,3/21/2024,5/24/2024,C0376,Học sinh,Gia đình,App điện thoại,Chuyển khoản,Đà Nẵng,4,2250000,14%,Hoàn thành,7722000,5,Sai
B01167,9/27/2024,12/26/2024,C0109,Học sinh,Khám phá,Đại lý,Thẻ,Đà Lạt,2,4434000,75%,Hoàn thành,8292000,4.2,Đúng
B01168,4/4/2024,6/18/2024,C0079,Gia đình,Ăn uống,Đại lý,Chuyển khoản,Đà Lạt,1,2363000,15%,Hoàn thành,2013000,3.3,Đúng
B01169,5/5/2025,6/18/2025,C0110,Doanh nghiệp,Văn hóa,Đại lý,Thẻ,Đà Lạt,1,1935000,4%,Hoàn thành,1852000,4.4,Đúng
B01170,1/28/2025,2/26/2025,C0136,Học sinh,Văn hóa,Website,Thẻ,Phú Quốc,2,2936000,22%,Hoàn thành,4604000,4.8,Đúng
B01171,11/5/2024,1/31/2025,C0051,Học sinh,Biển,Đại lý,Thẻ,Huế,2,3081000,13%,Hoàn thành,5373000,4.3,Đúng
B01172,9/1/2024,10/3/2024,C0247,Gia đình,Gia đình,App điện thoại,Thẻ,Nha Trang,3,3826000,22%,Hoàn thành,8930000,3.7,Sai
B01173,4/5/2024,5/12/2024,C0141,Người đi làm,Ăn uống,Website,Ví điện tử,Huế,1,2500000,5%,Hủy bỏ,0,,Sai
B01174,7/28/2025,10/24/2025,C0302,Học sinh,Biển,App điện thoại,Thẻ,Phú Quốc,1,4258000,13%,Hoàn thành,3700000,3.7,Đúng
B01175,2/7/2025,4/3/2025,C0207,Học sinh,Gia đình,Đại lý,Chuyển khoản,Phú Quốc,5,2345000,10%,Hoàn thành,10599000,5,Đúng
B01176,7/17/2024,8/17/2024,C0186,Gia đình,Ăn uống,App điện thoại,Thẻ,Đà Nẵng,3,1682000,7%,Hoàn thành,4713000,4.2,Sai
B01177,9/14/2024,9/24/2024,C0198,Doanh nghiệp,Biển,Đại lý,Ví điện tử,Hà Nội,2,3656000,19%,Hoàn thành,5901000,3.4,Sai
B01178,3/28/2025,5/11/2025,C0066,Gia đình,Biển,Website,Thẻ,Hạ Long,1,3264000,14%,Hoàn thành,2797000,4.4,Đúng
B01179,3/24/2025,6/21/2025,C0300,Gia đình,Gia đình,Website,Thẻ,Hội An,4,3577000,11%,Hoàn thành,12748000,4.3,Đúng
B01180,10/14/2024,11/28/2024,C0044,Người đi làm,Gia đình,Website,Thẻ,Nha Trang,3,2599000,8%,Hoàn thành,7173000,4,Đúng
B01181,7/7/2024,9/11/2024,C0304,Người đi làm,Biển,Website,Tiền,Sa Pa,4,3651000,7%,Hoàn thành,13567000,3.7,Sai
B01182,2/15/2025,3/17/2025,C0420,Doanh nghiệp,City Break,App điện thoại,Ví điện tử,Đà Nẵng,1,3056000,12%,Hủy bỏ,0,,Đúng
B01183,2/14/2025,4/27/2025,C0321,Doanh nghiệp,Khám phá,Đại lý,Ví điện tử,Sa Pa,1,4883000,12%,Hủy bỏ,0,,Đúng
B01184,1/8/2025,3/21/2025,C0192,Người đi làm,Ăn uống,Đại lý,Thẻ,Đà Lạt,2,3070000,11%,Hoàn thành,5471000,4.3,Đúng
B01185,2/15/2024,4/14/2024,C0133,Gia đình,City Break,Website,Thẻ,Huế,1,-100000,6%,Hoàn thành,1444000,4.4,Sai
B01186,10/21/2024,1/1/2025,C0367,Gia đình,City Break,Website,Thẻ,Đà Nẵng,2,2739000,19%,Hoàn thành,4426000,4.3,Sai
B01187,1/17/2025,3/14/2025,C0109,Học sinh,Khám phá,Website,Thẻ,TP.HCM,2,3512000,10%,Hoàn thành,6336000,4.4,Đúng
B01187,1/17/2025,3/14/2025,C0109,Học sinh,Khám phá,Website,Thẻ,TP.HCM,2,3512000,10%,Hoàn thành,6336000,4.4,Đúng
B01188,8/14/2025,9/23/2025,C0203,Người đi làm,Văn hóa,App điện thoại,Tiền,Phú Quốc,1,2532000,21%,Hoàn thành,2010000,4,Đúng
B01189,11/23/2024,1/31/2025,C0324,Người đi làm,Khám phá,Website,Thẻ,TP.HCM,1,5880000,12%,Hoàn thành,5169000,4.1,Đúng
B01190,8/1/2024,10/17/2024,C0388,Doanh nghiệp,Biển,App điện thoại,Tiền,Huế,2,2417000,16%,Hoàn thành,4065000,4.8,Sai
B01191,12/12/2024,2/28/2025,C0387,Gia đình,Gia đình,Đại lý,Chuyển khoản,Phú Quốc,4,4157000,15%,Hoàn thành,14084000,4.9,Đúng
B01192,4/20/2024,5/17/2024,C0037,Học sinh,Biển,App điện thoại,Thẻ,Đà Nẵng,1,4364000,7%,Hoàn thành,4054000,3.6,Đúng
B01193,2/26/2024,4/30/2024,C0378,Người đi làm,Khám phá,Website,Thẻ,Đà Nẵng,1,5336000,14%,Hoàn thành,4578000,4.1,Sai
B01194,2/26/2025,3/8/2025,C0048,Người đi làm,Biển,Website,Thẻ,Huế,2,3574000,24%,Hoàn thành,5461000,4.6,Đúng
B01195,9/6/2025,11/1/2025,C0246,Doanh nghiệp,Văn hóa,App điện thoại,Thẻ,Phú Quốc,1,2357000,14%,Hoàn thành,2039000,5,Đúng
B01196,6/11/2025,8/6/2025,C0391,Gia đình,Văn hóa,App điện thoại,Thẻ,Hạ Long,2,2058000,10%,Hoàn thành,3721000,5,Đúng
B01197,12/29/2024,2/6/2025,C0276,Người đi làm,Gia đình,Website,Tiền,TP.HCM,4,2337000,16%,Hoàn thành,7834000,3.8,Đúng
B01198,1/26/2024,4/25/2024,C0398,Người đi làm,City Break,Đại lý,Thẻ,Huế,1,1640000,14%,Hoàn thành,1414000,4.8,Sai
